date,user,text,retweets,favourites
2021-02-18 17:46:23,JoeBiden,"RT @POTUS: Jill and I are keeping Texas, Oklahoma, and other impacted states in our prayers. I’ve declared states of emergency, authorized…",21672,0
2021-02-18 15:48:50,JoeBiden,"RT @POTUS: Today I announced our Administration will:

- Expand COVID-19 testing for schools and underserved communities
- Increase manufac…",5851,0
2021-02-17 22:11:54,JoeBiden,RT @WhiteHouse: The Biden-Harris Administration opened a special enrollment period to ensure every American has the opportunity to sign up…,2089,0
2021-02-17 14:17:10,JoeBiden,"RT @POTUS: I know COVID-19 can be scary, but I want every kid out there to know things are going to be okay. https://t.co/wZIxHeNAFa",5798,0
2021-02-17 01:04:54,JoeBiden,"RT @POTUS: Tonight, I’ll be answering questions at my first town hall since taking office. Make sure to tune in to CNN at 9 PM ET / 8 PM CT…",4202,0
2021-02-16 22:45:35,JoeBiden,"RT @POTUS: Starting this week, our Administration is:

- Increasing weekly vaccine shipments to states to 13.5 million doses — a 57% increa…",10885,0
2021-02-16 14:05:20,JoeBiden,"RT @POTUS: Before I took office, I set a big goal of administering 100 million shots in the first 100 days. With the progress we’re making…",21457,0
2021-02-14 23:06:48,JoeBiden,"RT @POTUS: The love of my life and the life of my love. Happy Valentine’s Day, Jilly. https://t.co/LjLLIjvP1C",22154,0
2021-02-14 22:43:47,JoeBiden,"RT @POTUS: Three years ago today, a lone gunman took the lives of 14 students and three educators in Parkland, Florida. In seconds, the liv…",11579,0
2021-02-13 15:06:30,JoeBiden,"RT @POTUS: Samir and Neal own NaanStop in Atlanta, Georgia — and like many small businesses around the country, they’ve been hit hard by th…",5461,0
2021-02-13 00:32:08,JoeBiden,RT @POTUS: I know the last year has been difficult and painful for all of us. I hope Jill’s Valentine’s Day message helped brighten your da…,17183,0
2021-02-12 17:03:42,JoeBiden,"RT @POTUS: From the Biden family to yours, happy #LunarNewYear. We wish you happiness, health, and prosperity in the Year of the Ox. https:…",12536,0
2021-02-12 15:19:37,JoeBiden,"RT @POTUS: I see enormous pain in this country. A lot of folks are out of work. A lot of folks are going hungry, staring at the ceiling at…",5534,0
2021-02-11 21:16:04,JoeBiden,RT @POTUS: No child should grow up in poverty. The American Rescue Plan will expand the child tax credit and cut the child poverty rate in…,6952,0
2021-02-11 15:13:52,JoeBiden,"RT @POTUS: We can reduce suffering in this country, put people back to work, and gain control of this virus.

That’s what the American Resc…",7009,0
2021-02-11 00:09:41,JoeBiden,"RT @POTUS: The risk isn't that we do too much when it comes to a COVID relief package — it's that we don't do enough.

We have to go big.",16509,0
